Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
68000	108	42	0	0	0	0	0	434472	1	0	0	235414	0	300529	0	453711	7	378476	0	302649	287828
68250	67	19	0	0	1	0	0	439168	1	0	0	249311	0	284880	20	450463	22	378517	0	304863	288660
68500	75	54	0	0	20	0	0	442974	0	0	0	242153	1	290263	0	468797	8	381303	0	307327	288372
68750	61	19	0	0	0	12	0	437050	0	0	0	265751	0	302750	0	469439	6	381139	0	307699	290397
69000	73	44	0	0	1	14	0	447027	0	8	14	241460	1	307905	0	461412	7	385204	0	310139	291965
69250	64	20	0	0	1	0	0	452759	8	0	0	240527	0	283374	0	473759	7	385383	0	311970	292219
69500	60	32	0	0	0	0	0	454601	0	0	0	281568	27	302310	0	479678	7	388218	0	317504	293516
69750	75	23	0	0	0	0	0	457487	2	0	0	246789	0	313482	0	477114	17	387284	0	316493	294696
70000	60	62	0	0	0	0	0	454134	0	0	0	253917	0	309347	0	482262	7	390954	0	319305	295788
70250	75	31	0	0	1	0	0	463604	1	0	0	264437	0	306936	0	497618	7	391059	55	320992	297672
70500	56	39	0	0	9	0	0	464506	0	0	0	265234	1	333946	1	495111	7	391911	0	329838	298367
70750	69	35	0	0	0	0	0	469870	1	0	0	253761	0	307660	0	516805	7	394063	0	324197	298160
71000	72	46	0	0	11	0	0	467023	3	0	0	282678	1	320732	0	494585	6	394888	0	327398	300893
71250	58	43	0	0	1	0	0	501388	0	15	0	261250	0	332179	0	518196	38	398501	0	333620	302250
71500	60	36	0	0	0	0	0	484506	1	0	0	303102	2	336271	0	504783	7	397766	0	330235	303793
71750	118	48	0	0	0	0	0	494671	0	0	0	289955	0	347254	0	525020	6	398904	0	331468	304472
72000	81	39	0	27	0	0	0	476759	3	0	0	271694	1	347717	0	521259	9	403440	0	335387	304581
72250	80	39	0	4	2	0	0	491731	0	0	0	320036	23	343121	0	531294	15	403273	84	336082	306732
72500	101	44	0	0	1	0	0	484314	2	0	0	298447	0	348828	0	534673	6	403854	0	338343	307419
72750	73	46	0	0	0	0	0	504346	1	0	0	304927	0	353246	0	526637	8	407198	0	343330	308038
73000	72	60	0	0	0	12	0	490233	9	0	0	320566	0	296686	0	530699	6	409319	0	342948	308996
73250	87	74	0	8	15	8	0	503695	0	13	0	329915	1	301937	0	536063	7	409583	0	344940	310395
73500	88	63	0	0	9	0	0	492586	2	15	0	316950	2	363379	0	557690	7	409102	0	347247	313325
73750	82	147	0	0	0	0	7	510320	4	0	0	303916	3	374718	0	552755	7	412200	0	348851	313585
74000	80	83	0	0	1	0	0	500637	2	0	12	321624	0	362802	0	568261	6	413689	0	351929	314808
74250	92	105	0	0	1	0	0	516594	2	0	0	321393	0	374603	0	556490	8	415693	42	356362	314960
74500	71	148	0	0	2	0	0	518466	11	2	0	317290	1	375547	0	568389	8	416851	0	354668	316462
74750	85	204	0	0	1	0	0	519606	0	0	0	330995	17	379859	0	569278	6	416665	10	356873	316955
75000	79	264	0	0	0	0	0	508705	0	0	0	333473	13	384240	0	566041	17	421066	0	361272	318979
75250	103	426	8	0	0	0	0	531442	2	0	0	333600	0	377136	0	579226	6	421275	0	363444	319628
75500	93	290	0	0	1	0	0	545321	1	0	0	360437	1	395191	0	576153	7	423363	0	366082	322471
75750	76	162	0	0	29	0	0	579061	1	23	0	360806	1	396585	0	583997	7	422794	0	370847	322176
76000	68	132	0	0	7	0	0	540895	0	0	0	350159	5	415598	26	585863	6	426661	0	369905	323474
76250	122	128	0	8	1	0	0	527892	5	0	0	345648	0	414771	0	591616	8	427513	0	372326	323045
76500	86	132	0	0	2	0	0	540685	0	0	0	382058	2	407962	0	595479	6	428635	0	380897	324579
76750	75	105	0	0	0	0	0	537160	0	0	0	377661	1	427248	0	608510	7	429135	0	371889	326098
77000	88	145	0	0	0	12	0	535684	4	0	0	372570	1	417619	0	603894	8	431016	0	375838	326635
77250	69	165	0	0	0	14	0	543144	3	0	0	380076	12	426213	0	601950	7	433182	0	373080	328050
77500	71	100	0	0	0	0	0	549929	1	0	0	424417	1	420977	0	610713	6	434349	0	385018	329157
77750	81	75	0	0	9	0	0	549433	15	13	0	421633	0	424729	0	621090	7	436718	0	386986	332548
78000	105	66	0	0	3	0	0	547925	0	10	0	426724	0	438120	0	613601	16	437316	0	389944	331855
78250	71	67	0	20	13	0	0	545236	0	0	0	416716	0	446432	0	627831	6	438467	0	386592	331533
78500	88	42	0	17	0	0	0	552488	3	8	0	453203	0	454342	0	616244	8	439958	0	393628	334111
78750	95	31	0	7	0	0	0	564326	2	0	7	439800	0	448517	0	612979	6	442081	0	393062	334904
79000	73	26	0	17	0	2	0	556554	17	0	0	431193	0	459839	0	603879	6	444690	0	394622	333949
79250	82	38	8	7	0	0	0	556323	4	0	0	440454	1	450768	0	605231	8	444849	0	397275	336990
79500	76	29	0	7	0	0	0	555265	36	0	0	448760	0	461503	0	616615	7	446720	0	397639	338253
79750	140	63	0	0	1	0	26	569456	0	0	0	474341	17	465182	0	643243	7	446511	0	401701	339207
80000	85	30	0	0	7	0	0	568068	2	39	0	547898	13	478805	48	632944	7	448500	0	403846	340693
80250	62	39	0	0	1	0	0	567548	3	0	26	1092524	0	461291	0	648244	7	450099	8	410272	340732
80500	86	22	0	0	0	0	0	585175	14	0	0	1161705	1	470485	0	646371	6	452318	0	406389	342364
80750	80	26	0	0	1	0	0	581168	8	0	0	571701	0	486228	0	645950	7	453662	0	411272	344717
81000	63	30	0	2	1	0	0	582394	33	2	0	527410	0	469860	0	655312	16	456096	0	410992	344444
81250	70	66	0	0	1	12	0	596767	8	0	0	481914	0	501573	0	650758	6	457313	0	411945	345825
81500	94	26	0	0	3	0	0	577655	5	0	0	549909	2	481024	0	655216	8	458918	0	414863	346966
81750	81	32	0	8	1	0	0	573839	9	0	0	512385	0	503415	1	700014	6	460989	0	418924	343218
82000	75	31	0	0	0	0	0	602184	6	13	12	522136	0	478043	0	699660	9	459920	0	419849	345031
82250	116	51	8	0	9	0	0	585800	5	25	0	498659	0	504379	0	663465	6	461549	0	421699	349180
82500	67	37	0	0	1	0	0	601495	7	0	0	550990	17	488720	0	666863	8	463376	0	424986	347318
82750	103	24	0	0	1	0	0	595146	16	2	0	532557	0	514241	0	672766	8	465533	0	425358	348336
83000	100	24	0	0	1	0	0	596548	3	0	0	545554	0	740811	0	673618	6	466412	0	428904	350645
83250	127	46	0	0	1	0	0	599384	2	0	0	544209	1	562866	0	679424	7	468172	0	430337	356725
83500	83	14	0	0	2	0	0	601739	0	0	14	564839	0	512502	12	672126	7	472650	0	432560	363680
83750	90	49	0	0	1	0	0	603152	12	0	0	584852	24	505453	0	669566	7	470734	0	434896	360681
84000	108	30	0	0	3	0	0	611894	2	0	0	551100	1	546669	0	667424	30	473454	0	436678	361014
84250	98	48	0	0	0	0	0	598865	0	35	0	566401	1	528525	0	676667	11	475525	0	439236	365808
84500	94	31	13	9	6	0	0	619639	4	0	0	580363	0	539852	0	683129	7	475456	0	440738	364187
84750	94	24	0	0	2	0	0	620017	19	0	0	641840	0	531940	0	685648	6	477568	0	444889	364922
85000	99	34	0	0	0	0	0	615071	4	0	0	566454	9	545278	0	687633	8	487852	0	444759	370113
85250	101	45	0	0	0	1	7	624722	7940	0	0	608237	0	548727	0	685525	6	482753	0	446947	367139
85500	96	24	0	0	1	0	14	627698	7	0	0	594899	1	546283	0	714183	32	483232	24	448770	369780
85750	103	40	0	0	0	8	0	630689	7	0	12	611968	0	544235	0	697345	8	482609	0	450900	371125
86000	97	20	0	0	0	0	0	642592	5	0	0	600499	1	539234	0	702102	6	484933	0	453617	371098
86250	97	58	0	0	34	0	0	629707	6	0	0	632880	0	554125	0	699901	7	484624	0	455340	374775
86500	132	16	0	0	9	0	0	637506	3	13	0	624302	0	545855	0	701122	7	488038	0	458487	374006
86750	96	16	15	0	1	0	0	637192	45	0	0	659208	1	558357	0	711362	19	489006	0	462260	375281
87000	113	32	0	12	0	0	0	637479	14	15	0	631667	1	551202	0	709289	6	489405	0	461368	377010
87250	102	68	0	0	1	0	0	667011	5	0	0	664657	1	567980	0	711986	7	492959	0	463368	377050
87500	92	52	12	0	0	0	0	646834	4	0	0	637962	0	557672	0	719346	7	494566	0	467414	378358
87750	90	33	0	0	0	0	0	643572	4	0	0	621685	11	574752	14	720048	7	493710	0	469124	382039
88000	84	55	0	0	0	0	0	678489	4	0	0	692343	14	587893	0	723675	7	497464	0	473984	379467
88250	118	20	38	0	1	0	0	646801	7	0	0	677780	1	570414	0	718120	6	496448	0	474388	380674
88500	93	30	0	0	0	0	0	648372	3	50	0	671015	2	582630	0	725999	8	500897	0	476508	380105
88750	93	25	0	0	7	0	0	651412	2	0	0	675991	0	589882	0	721772	6	500551	0	476099	378848
89000	98	72	0	2	4	14	0	655725	1	0	0	723823	0	574530	0	721181	6	503021	0	481821	381907
89250	79	32	0	0	0	0	14	655193	1	0	0	700336	0	580730	0	718625	9	503050	0	482182	380791
89500	106	32	0	0	0	0	0	694383	3	2	0	722113	2	598607	2	725326	6	505444	0	482330	384329
89750	131	29	0	0	0	11	0	675488	1	0	0	725543	0	602321	0	721264	16	507163	0	484451	387167
90000	131	64	0	0	0	0	0	718128	13	0	0	733334	0	604561	0	734256	7	506866	0	486558	408748
90250	94	32	0	0	0	0	0	675805	1	0	0	729156	22	608105	0	739639	7	510718	0	492069	409673
90500	78	53	0	0	0	0	0	679066	0	0	0	729465	0	610800	0	738072	6	512946	0	491463	389305
90750	131	35	0	0	0	0	0	679540	2	41	0	768675	0	610951	0	751778	7	512997	0	495877	388148
91000	82	70	0	0	0	0	0	685221	2	0	0	767871	2	615260	0	745519	7	514814	25	494789	390479
91250	125	22	0	0	7	0	0	683244	2	2	0	769296	0	617958	0	745235	6	514852	0	498778	391433
91500	132	35	0	19	9	2	0	678124	2	20	0	798553	6	613937	12	746448	8	517366	0	502775	393553
91750	80	23	15	0	0	0	0	699391	1	0	0	778384	4	608137	0	754114	7	519131	0	502971	392452
92000	93	68	0	0	0	0	0	693096	1	0	0	797883	0	614707	0	793054	6	518414	0	505006	395430
92250	132	31	0	0	0	0	0	688683	1	0	0	816082	2	626598	0	961807	8	516655	0	506012	395760
92500	87	24	12	0	0	0	0	702232	0	0	0	780009	0	622715	0	974603	6	518839	0	508517	396741
92750	90	30	0	0	0	0	0	704562	2	21	0	802507	41	624844	0	959545	16	527877	0	511483	398025
93000	88	78	0	39	0	0	0	708463	1	0	0	837009	12	631975	0	980584	7	531296	0	510964	399340
93250	213	31	28	0	0	0	0	699474	1	0	0	824542	1	619753	0	976000	7	531738	0	515432	399767
93500	81	37	0	0	5	0	0	727024	10	0	0	832657	0	635167	0	1011305	7	529475	0	518093	402715
93750	112	60	0	0	0	0	0	709600	1	0	14	847303	0	643208	0	1017877	6	530984	0	519919	402719
94000	103	66	15	0	4	8	0	718605	1	0	0	818766	2	635808	0	983984	7	532265	0	519962	402789
94250	91	43	2	0	1	0	0	719726	0	0	0	847181	1	644877	15	803685	8	533860	0	524539	405195
94500	83	34	0	0	1	0	0	722725	30	0	0	890508	0	651198	0	778877	8	533344	0	526001	405838
94750	111	57	0	0	0	0	0	720824	0	13	0	865098	1	647943	0	779769	6	536405	0	527729	407607
95000	86	26	0	0	1	0	0	734426	5	0	0	860853	2	658139	0	804202	8	536571	0	530579	407594
95250	86	36	0	0	0	0	0	735765	19	0	0	863387	1	637571	14	786528	40	539494	0	532228	409975
95500	144	36	15	0	8	0	0	731853	11	0	7	874855	0	659178	0	778110	6	539463	0	534732	410811
95750	112	82	0	9	0	0	0	720574	4	0	0	900791	0	667676	0	789620	8	542149	0	537496	411017
96000	114	48	0	0	0	0	0	731785	5	0	0	885045	1	658440	0	793132	6	544138	0	545410	413402
96250	120	37	13	0	0	0	0	731979	34	0	0	874450	3	668811	0	797101	7	544934	0	540036	414008
96500	179	41	0	0	0	0	0	732921	10	12	0	878391	0	665505	0	797748	7	546185	8	543472	414891
96750	125	74	0	0	0	0	0	736833	21	29	0	888520	1	663422	0	792599	8	547931	0	545742	416417
97000	155	47	20	0	0	0	14	737063	15	0	0	897544	0	671016	13	802562	6	549376	0	546915	417344
97250	116	56	0	2	0	0	0	746223	14	0	26	896762	0	667050	0	809110	7	550272	0	550148	418136
97500	115	62	0	0	1	0	0	750867	8	0	0	884317	1	676732	0	803504	7	552205	0	551370	420233
97750	110	68	0	0	6	0	0	742897	12	2	0	1008509	2	671727	0	808206	6	553583	0	553560	421774
98000	175	69	0	0	3	0	0	781451	2	0	0	1391823	22	682166	0	807468	8	555409	0	555950	422630
98250	144	66	0	0	1	13	0	763774	16	0	0	1247055	0	688727	0	814159	16	556171	0	559860	423258
98500	110	97	12	0	0	0	0	755736	0	0	0	950012	0	672648	0	812254	6	559125	0	560136	424839
98750	162	61	0	8	0	0	0	755428	1	41	0	974116	6	693231	0	862127	8	560366	0	562579	426712
99000	114	70	14	0	0	0	0	764062	3	0	0	979705	0	701926	0	831541	6	561990	0	563433	426883
99250	7792	53	0	0	29	0	0	765708	1	0	0	979885	0	687377	0	827607	9	562200	0	566174	428674
99500	244	91	0	0	1	0	0	773447	0	0	0	969900	1	693465	0	819587	6	564286	0	568678	428486
99750	182	55	0	0	0	0	0	772981	1	2	0	1006055	0	690467	0	821483	7	566497	0	571462	429908
100000	158	68	0	0	8	0	0	775856	65	0	0	987127	1	697413	0	819004	7	569184	0	572672	431287
100250	188	120	0	0	0	0	0	777120	0	0	0	980501	0	683338	0	832004	6	573891	0	574374	431715
100500	148	73	29	0	0	0	0	778250	4	0	0	1011699	0	706593	0	805552	7	571474	0	578506	432530
100750	172	68	0	0	0	0	12	771423	0	28	12	1006692	23	704790	0	812358	7	573346	0	581285	433901
101000	191	95	0	0	1	0	14	771855	1	0	0	1031170	54	714993	0	808569	7	576971	0	581366	435017
101250	146	137	0	0	0	0	0	771951	1	19	0	1113273	12	711282	0	827397	15	579290	0	583837	444618
101500	138	81	0	0	0	0	0	778536	22	0	0	1341516	1	710591	0	837546	8	576258	0	585826	437183
101750	140	86	0	8	2	0	0	785867	0	0	0	1109063	0	706714	0	825189	9	578472	0	589753	438475
102000	167	142	0	0	1	0	0	790652	0	0	0	1016102	3	725826	0	831489	6	581784	0	591776	439475
102250	107	105	0	0	7	0	0	783911	13	0	0	993086	0	718061	0	829184	8	581510	0	591547	440317
102500	118	144	0	0	0	0	0	792545	0	36	0	1009275	0	707006	0	832674	6	582903	0	593946	441239
102750	155	86	15	0	0	14	2	790134	0	0	0	980043	0	719000	14	832831	7	585867	0	596727	442854
103000	127	147	0	0	0	0	0	795951	0	0	0	1007693	0	723196	0	825740	7	585147	0	600092	443118
103250	142	103	0	0	0	0	0	797430	1	0	0	1061046	13	742051	0	836098	7	587232	0	601234	445453
103500	148	126	0	2	0	0	0	797597	0	0	0	1038491	0	741368	0	830061	6	590668	0	606175	446712
103750	111	197	0	0	0	0	0	809284	1	0	0	1052919	0	744254	0	840738	7	590268	0	607221	447199
104000	103	175	0	0	0	0	0	809822	0	0	0	1064562	3	733602	0	812909	7	597630	0	610337	448781
104250	1	7	0	0	0	0	0	8973	0	0	0	13875	0	14087	0	9567	0	7138	0	9744	5302

