Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
21250	25	0	0	0	1	0	0	93480	0	40	0	45669	2	47035	33	92519	8	114667	0	78574	87701
21500	25	0	0	0	3	0	0	95221	26	2	0	49373	1	44037	0	93331	7	115769	0	77931	88564
21750	137	36	0	0	3	0	0	95949	0	0	0	46581	1	48249	0	94062	6	117439	0	79884	89600
22000	43	0	0	0	4	0	0	97125	0	0	12	47225	1	45386	0	95298	8	118416	0	80744	90742
22250	27	0	0	0	3	0	0	98181	0	0	0	51486	9	45850	0	96969	6	120638	8	80522	91684
22500	67	0	15	4	16	0	0	95174	0	0	0	47976	13	49759	0	97611	6	121374	0	82671	91955
22750	23	0	12	0	10	0	2	102497	64	2	0	52017	1	46969	0	99065	8	122667	0	83322	93612
23000	26	58	0	0	7	0	0	101708	0	0	0	48673	0	50966	0	97120	6	124253	0	84449	95036
23250	26	0	0	0	2	14	0	102704	5	0	0	53355	2	48070	0	102204	7	125853	0	85484	96035
23500	26	0	13	0	5	0	0	105220	0	0	0	49856	0	52638	0	102145	8	127473	0	84978	97369
23750	92	2	0	0	4	0	0	103187	0	0	0	56521	1	48946	0	103207	37	128338	0	87109	98206
24000	49	1	0	0	10	0	0	104559	0	20	0	51450	1	54133	0	105208	6	130863	0	87993	99029
24250	68	0	0	0	5	0	0	106261	2	15	0	55849	0	51931	0	120093	7	131656	0	89055	99991
24500	28	37	0	0	24	0	1	109905	0	0	0	54211	0	55956	0	125526	7	132492	0	90178	101456
24750	22	2	0	0	1	0	0	108357	31	0	0	57224	3	51102	0	110317	6	133825	0	89770	102177
25000	36	0	0	14	1	0	0	111291	0	0	0	53296	20	56406	0	108934	8	138199	0	91965	103335
25250	30	0	0	0	2	0	0	110853	0	0	0	58240	0	53386	14	127061	6	144105	0	92210	104747
25500	25	13	0	0	2	0	0	112797	2	0	0	54421	0	58062	0	113192	7	137652	0	93442	104482
25750	24	16	0	12	0	0	0	113955	0	0	0	59996	0	53692	0	112551	7	139115	0	94792	106440
26000	22	0	0	0	4	0	1	114453	0	0	0	56085	0	58851	0	113316	6	141710	0	95852	108074
26250	87	2	0	0	0	0	1	116179	1	0	0	61178	2	54704	0	115179	9	142186	0	96908	108646
26500	34	13	0	0	8	12	0	116773	19	0	0	58450	2	61079	0	115989	7	143250	0	97187	109541
26750	25	1	0	34	0	12	0	117660	2	0	0	61697	1	56101	0	117391	7	145785	0	96902	111241
27000	31	48	12	0	4	0	0	123645	2	35	0	62279	0	61326	23	118101	7	145856	0	99130	111723
27250	25	0	0	0	43	0	0	126239	2	0	0	58882	1	57254	0	119096	7	147176	0	100165	113762
27500	75	0	0	0	5	0	0	122975	3	0	0	64042	31	62697	1	120323	6	149561	0	101043	113799
27750	29	0	0	0	5	0	0	124048	0	0	0	60083	0	63812	0	122026	7	169336	0	101685	114278
28000	24	0	0	0	1	0	0	125607	14	0	0	66410	2	59205	0	122805	188	161541	0	102517	115744
28250	21	56	0	0	3	0	0	127212	10	0	0	70604	0	64946	0	128800	6	165348	0	103497	116936
28500	52	0	0	0	2	0	0	131370	1	0	0	62660	1	60274	0	125971	8	155459	0	104742	118438
28750	38	1	0	0	0	0	0	128322	1	0	0	71144	2	66419	0	127039	10	155597	0	105389	118634
29000	26	2	0	0	0	0	0	130081	0	0	0	63196	0	61705	14	128750	13	157718	0	106152	119938
29250	31	0	0	0	1	13	0	133053	16	12	0	69337	0	68562	0	129305	8	165529	0	107324	120995
